Text,Count
"RT @GavinNewsom: VACCINE UPDATE: CA will be receiving 327,000 doses of the new Pfizer #COVID19 vaccine in mid December.  Transparency, equi…",1014
RT @DrDenaGrayson: Devastated. A family member was diagnosed with #COVID19 over the holiday weekend and passed away late last night. His la…,779
RT @uche_blackstock: A Black woman will have had a significant role in the development of #COVID19 vaccines and in saving the world. Her st…,613
RT @DrEricDing: 📍DEADLY CHURCH EVENTS: 213 #COVID19 cases and 12 deaths after NC church held large gatherings in early Oct without enforcin…,566
"RT @DMalebranche: As we move forward with delivery of the #COVID19 vaccines, understand:  Most Black people who are hesitant about vaccinat…",320
"RT @UN: Globally, 12.6 million people living with HIV still don't have access to treatment, and #COVID19 is exacerbating the challenges the…",309
"RT @DrEricDing: ⚠️Restaurants appear to be among the most riskiest and common places to get infected with the #COVID19, but we still don’t…",283
RT @DrLiMengYAN1: Definitely it is NOT the only INCREDIBLE story #COVID19 generated by WHO. Key words: No human-human transmission  No outb…,275
"RT @GavinNewsom: California’s #COVID19 hospitalizations have increased by 89% in the last two weeks.  If these trends continue, our current…",219
RT @antonioguterres: Health is a human right - and universal health coverage must be a top investment priority.  To overcome #COVID19 and e…,218
"RT @DrLiMengYAN1: To people who asked about prophylaxis and treatment protocols #COVID19, with the usage of HCQ or alternative drugs.",214
RT @DrEricDing: Folks—there is only one doctor I know who has fought #COVID19 on the front lines during **all 3 peaks/surges** from NYC to…,196
#COVID19,188
RT @DrPacoMoreno1: En otros países ya esta establecida la estrategia para el almacenamiento y distribución de la vacuna del #COVID19. En Mé…,178
RT @DrEricDing: New—CNN reports leaked documents of 117 pages from Wuhan show China vastly underreported #COVID19 cases during early pandem…,170
"RT @SenatorTomUdall: The Senate is back in Washington today, and that means @senatemajldr shouldn’t waste any more time in passing #COVID19…",161
RT @NoticiasONU: La OMS considera que el aumento de casos y muertes por #COVID19 en #México demuestra que el país está en una situación “mu…,152
"RT @DanZickler: 33 Jahre, keine Vorerkrankungen. #COVID19 https://t.co/Y2AGQpqPqM",150
"RT @GavinNewsom: THREAD: As we continue the fight against #COVID19, today we announced a Small Business Emergency Relief Package that will…",144
RT @dave_janak: #COVID19  गाइडलाइन्स केवल आम लोगो के लिए ही है!!  यह तस्वीरे है बीजेपी के पूर्व मंत्री कांति गामित के पोती की मंगनी के मौके…,137
RT @SalamiLea: #COVID19 :  Le Sénat sera le premier EHPAD français à bénéficier du vaccin. https://t.co/EA7FXEeXhL,125
"RT @msaludpy: Informe #COVID19 l 30 de noviembre:  📍Procesamos 3.071 muestras, 518 positivos, todos casos comunitarios.  📍Lamentamos inform…",117
"RT @latinus_us: Llamado de la OMS no es para el gobierno de México, sino para la ciudadanía, dice López-Gatell. #COVID19 #Coronavirus #Lati…",115
"RT @disclosetv: BREAKING - Out of the blue, CNN takes aim at China for mishandling and lying about the #COVID19 outbreak. https://t.co/PGCV…",113
RT @YourAnonCentral: Israel's extreme racism &amp; apartheid rule has Gaza’s health system in near collapse from #COVID19; 100 ventilators for…,112
RT @ChouhanShivraj: आज उपचुनावों में मिली विजय के बाद पहली बार प्रधानमंत्री श्री @narendramodi जी से भेंट की।  मैंने उनसे #COVID19 संक्रमण…,100
RT @21savvvy: I can’t believe this video was before the pandemic 😫💀🦠#COVID19 https://t.co/bccJ9OVXFj,98
"RT @HLGatell: Al 30 de noviembre de 2020 hay 1,113,543 casos confirmados #COVID19. Se han registrado 1,356,344 negativos, 105,940 defuncion…",98
RT @HLGatell: Conferencia de prensa de la @SSalud_mx. Actualización del #COVID19 en México. Lunes 30 de noviembre de 2020. https://t.co/KYQ…,98
RT @DrTedros: No one is safe until everyone is safe. #COVID19 @washingtonpost https://t.co/myjnuVWTRi,97
RT @VittorioSgarbi: #COVID19 Il Governo tiene i musei chiusi senza alcun valido motivo. Un Paese senza cultura è un Paese morto.  Del resto…,96
"RT @DrZoeHyde: Over the last couple of weeks in England, #COVID19 cases have declined in all age groups, except in children (aged 5 to 12)…",94
"RT @latinus_us: El manejo de la pandemia es criminal y López-Gatell, un lambiscón: Anaya. #COVID19 #Coronavirus #Latinus #InformaciónParaTi…",92
RT @EdConwaySky: Govt just published its Impact Assessment of the new tiered #COVID19 restrictions. As far as I can tell there is not a sin…,87
RT @WHO: Media briefing on #COVID19 with @DrTedros https://t.co/oK7B5JHp6C,84
RT @GettyImagesNews: Dr. Joseph Varon hugs and comforts a patient in the #COVID19 intensive care unit during #Thanksgiving at the United Me…,83
RT @margbrennan: #COVID19 was in the US in December 2019.,80
RT @AJKayWriter: 106 #COVID19 seropositive samples from 9 different states were identified from blood donated between mid-December &amp; mid-Ja…,79
"RT @CDCgov: #COVID19 cases are going up dramatically. This increase is not due to more testing. As the number of cases rise, so does the pe…",77
RT @picardonhealth: 💔Photo of Houston ICU doctor comforting a weeping #COVID19 patient goes viral. Dr. Joseph Varon was working for his 252…,76
RT @wef: These are the countries that have pre-ordered the most COVID vaccines https://t.co/WAM2Aso2g7 #COVID19 #Vaccines https://t.co/BbZm…,75
RT @DrEricDing: Stopping the virus is *not* Mission Impossible. It starts with you.   &lt;Turn up the music&gt; #COVID19 https://t.co/oSLIVYf4aG,72
"RT @ajplus: Japan reported 2,153 deaths by suicide in October, more than its total deaths from #COVID19.  Japan has one of the highest rate…",70
"RT @cafreeland: As we battle #COVID19, Canadians are in for a hard winter. But we know that spring will surely follow. We have a plan. We u…",68
"RT @CancilleriaVE: Canciller Arreaza: ""El #COVID19 ha dejado en evidencia muchas carencias del sistema impuesto. Hemos visto rebatiñas por…",64
"RT @lotnabrygada: W Siedlcach i powiecie, znarło wczoraj 4 osoby na #COVID19. Odnotowano 43 nowe przypadki zakażenia. A to słup ogłoszeniow…",64
RT @CDCgov: CDC honors and remembers the lives lost to #COVID19. This pandemic is not over and cases continue to rise across the U.S.   Do…,63
"RT @NewsfromScience: Moderna has announced the final results of the 30,000-person efficacy trial for its #COVID19 vaccine candidate, report…",63
RT @latinus_us: México debe tomar en serio la pandemia; está en mala situación: OMS. #COVID19 #Coronavirus #Latinus #InformaciónParaTi http…,63
"RT @EricTopol: Back in September, we wrote about the need to show severe #COVID19 cases were prevented by a vaccine https://t.co/f5jvcdTCx2…",62
"RT @PartidoPSUV: Al igual que otras enfermedades respiratorias el #COVID19 puede causar síntomas leves como: secreción nasal, dolor de garg…",62
RT @Bret_Sears: What's far more frightening than #COVID19 is that the WHO has the ability to convince most of the world that a fake pandemi…,60
RT @C_Althaus: Das Land welches bald 5’000 Todesfälle im Zusammenhang mit #COVID19 zu beklagen hat feiert munter weiter. Und zwar mit Blasm…,60
RT @Lidija_Kojic: Sve rečeno u 2 minuta  @avucic @anabrnabic @tfajon #COVID19 #zdravstvo #krizništab https://t.co/ppg99l9mIe,60
"RT @DrLiMengYAN1: To people who asked about prophylaxis and treatment protocols #COVID19, with the usage of HCQ or alternative drugs. https…",59
RT @desdelamoncloa: El Comité se Seguimiento del #COVID19 se ha reunido esta tarde en La Moncloa para analizar la evolución de la pandemia…,59
"RT @MarkRuffalo: #COVID19 shows us we need guaranteed, universal, single-payer healthcare more than ever. Healthcare that is not tied to em…",58
